,bid,footprint_area,PV_cap_MW,number_of_cars,car_demand_daily_per_car_MW,car_demand_daily_total_MW,charging_station_power_MW,charging_station_power_total_MW,,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap
36,456.12,456.12,3,0.00515,0.01545,0.011,0.033,,3,4,48.216.999.999.999.900,11.529,0,1,3,5,22.806.199.999.999.900,0.84,1915.72,31.877.999.999.999.900,6,31.929.000.000.000.000,6,2,1,1,2,21.162.199.999.999.900,19.540.000.000.000.000,18.710.475.140.000.000,80.940.820.000.000.000,21,0,23,Jan 21,18.100.000.000.000.000,
37,900,900,13,0.00515,0.06695,0.011,0.143,,3,4,48.204.999.999.999.900,11.553.000.000.000.000,0,1,3,5,4500,0.84,3780,629,25,15.119.999.999.999.900,25,2,1,1,1,49.304.200.000.000.000,385.56,36.918.587.780.000.000,69.448.289.999.999.900,22,0,23,21.800.000.000.000.000,Mar 27,
38,47.501.999.999.999.900,475.02,23,0.00515,0.11845,0.011,0.253,,3,4,48.200.000.000.000.000,11.534.000.000.000.000,0,1,3,5,23.750.900.000.000.000,0.84,19.950.799.999.999.900,33.198.000.000.000.000,13,153.47,45,1,1,1,1,31.051.199.999.999.900,203.5,19.485.559.709.999.900,58.893.279.999.999.900,19,0,23,Jan 26,18.899.999.999.999.900,
39,83.819.999.999.999.900,83.82,1,0.00515,0.00515,0.011,0.011,,3,4,48.216.000.000.000.000,11.536,0,2,0,2,16.763.999.999.999.900,0.84,140.81,25.460.000.000.000.000,1,140.81,1,2,2,2,1,15.236.000.000.000.000,35.909.999.999.999.900,35.924.758.060.000.000,190813.22,18,0,23,0.13,0.19,
40,13.193.000.000.000.000,131.93,1,0.00515,0.00515,0.011,0.011,,3,4,48.203.000.000.000.000,11.553.000.000.000.000,0,2,0,2,26.386.000.000.000.000,0.84,22.163.999.999.999.900,40.079.999.999.999.900,1,22.163.999.999.999.900,1,2,1,2,1,50.075.999.999.999.900,56.520.000.000.000.000,56.545.358.939.999.900,101466.95,22,0,23,0.19,0.28,
41,200.53,200.53,1,0.00515,0.00515,0.011,0.011,,3,4,48.198.999.999.999.900,11.522,0,2,0,2,40.106.999.999.999.900,0.84,33.689.999.999.999.900,60.920.000.000.000.000,1,33.689.999.999.999.900,1,2,1,2,1,76.115.999.999.999.900,85.909.999.999.999.900,85.949.854.200.000.000,101466.95,19,0,23,0.19,0.29,
42,85.609.999.999.999.900,85.61,2,0.00515,0.0103,0.011,0.022,,3,4,48.213.000.000.000.000,11.547.000.000.000.000,0,2,0,2,171.22,0.84,14.381.999.999.999.900,26.010.000.000.000.000,2,71.909.999.999.999.900,4,2,1,2,1,324.94,36.670.000.000.000.000,36.692.434.479.999.900,101466.95,20,0,23,0.07,0.1,
43,100.41,100.41,1,0.00515,0.00515,0.011,0.011,,3,4,48.209.000.000.000.000,11.561,0,2,0,2,20.083.000.000.000.000,0.84,16.869.999.999.999.900,30. May,2,84.349.999.999.999.900,2,1,2,1,2,28.076.999.999.999.900,43.020.000.000.000.000,43.038.104.729.999.900,13.292.042.999.999.900,19,0,23,0.12,0.18,
44,14.833.000.000.000.000,148.33,1,0.00515,0.00515,0.011,0.011,,3,4,48.198.999.999.999.900,11.525,0,2,0,2,29.667.000.000.000.000,0.84,24.919.999.999.999.900,45.060.000.000.000.000,2,12.459.999.999.999.900,2,2,2,1,1,30.017.000.000.000.000,63.549.999.999.999.900,63.576.425.289.999.900,174798,20,0,23,0.12,0.19,
45,95.769.999.999.999.900,95.77,3,0.00515,0.01545,0.011,0.033,,3,4,48.197.000.000.000.000,11.553.000.000.000.000,0,2,0,2,19.155.000.000.000.000,0.84,16.090.000.000.000.000,29. Sep,2,80.450.000.000.000.000,6,2,1,2,1,36.352.999.999.999.900,41.030.000.000.000.000,41049462.32,101466.95,22,0,23,0.11,0.17,
