bid;footprint_area;PV_cap_MW;number_of_cars;car_demand_daily_per_car_MW;car_demand_daily_total_MW;charging_station_power_MW;charging_station_power_total_MW;;use;free_walls;lat;lon;dist_to_heat_source;year_class;size_class;floors;storey_area;area_corr_factor;heated_area;window_area;dwellings;dwelling_size;occupants;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;U;V;C;Tau;Tset;act_start;act_end;hw_demand_day;hw_tank_cap;;;;;;;;;;;
11;121.39;0.012139;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.198.999.999.999.900;11.526;0;1;0;2;24.277.000.000.000.000;0.83999999999999997;20.393.000.000.000.000;29.039.999.999.999.900;2;101.97;6;2;2;2;2;168.78;52;48.541.027.990.000.000;219863.16;20;0;23;0.17000000000000001;0.25;;;;;;;;;;;
12;20.858.000.000.000.000;0.020858000000000002;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.215.000.000.000.000;11.534.000.000.000.000;0;1;0;2;41.714.999.999.999.900;0.83999999999999997;35.041.000.000.000.000;49.899.999.999.999.900;2;17.519.999.999.999.900;5;2;2;2;1;349.88;89.349.999.999.999.900;83.406.558.659.999.900;18.989.060.000.000.000;22;0;23;0.13;0.19;;;;;;;;;;;
13;172.38;0.017238;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.207.999.999.999.900;Nov 56;0;1;0;2;34.475.999.999.999.900;0.83999999999999997;28.960.000.000.000.000;41.240.000.000.000.000;2;14.480.000.000.000.000;2;1;1;1;1;98.885.000.000.000.000;73.849.999.999.999.900;68.931.939.650.000.000;64.865.089.999.999.900;18;0;23;0.33000000000000002;0.5;;;;;;;;;;;
14;93.849.999.999.999.900;0.0093849999999999992;5;0.0051500000000000001;0.025749999999999999;0.010999999999999999;0.055;;3;4;48.220.999.999.999.900;11.519;0;1;0;2;187.69;0.83999999999999997;157.66;22.449.999.999.999.900;2;78.829.999.999.999.900;10;2;2;1;2;15.374.000.000.000.000;40.200.000.000.000.000;37.527.794.869.999.900;19.349.992.000.000.000;18;0;23;0.070000000000000007;0.10000000000000001;;;;;;;;;;;
15;16.188.999.999.999.900;0.016188999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.999.999.999.900;11.531.000.000.000.000;0;1;1;2;32.377.999.999.999.900;0.83999999999999997;27.198.000.000.000.000;41.020.000.000.000.000;1;27.198.000.000.000.000;1;2;1;2;1;48.620.999.999.999.900;69.349.999.999.999.900;50.102.878.939.999.900;90.184.529.999.999.900;20;0;23;0.25;0.37;;;;;;;;;;;
16;16.188.999.999.999.900;0.016188999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.999.999.999.900;11.531.000.000.000.000;0;1;1;2;32.377.999.999.999.900;0.83999999999999997;27.198.000.000.000.000;41.020.000.000.000.000;1;27.198.000.000.000.000;1;1;1;2;1;56.236.000.000.000.000;69.349.999.999.999.900;50.102.878.939.999.900;79.312.690.000.000.000;19;0;23;0.20000000000000001;0.29999999999999999;;;;;;;;;;;
17;16.188.999.999.999.900;0.016188999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.999.999.999.900;11.531.000.000.000.000;0;1;1;2;32.377.999.999.999.900;0.83999999999999997;27.198.000.000.000.000;41.020.000.000.000.000;1;27.198.000.000.000.000;2;1;1;1;1;56.236.000.000.000.000;69.349.999.999.999.900;50.102.878.939.999.900;79.312.690.000.000.000;22;0;23;0.14999999999999999;0.22;;;;;;;;;;;
18;14.240.000.000.000.000;0.014239999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.999.999.999.900;11.538;0;1;1;2;28.480.000.000.000.000;0.83999999999999997;23.922.999.999.999.900;36.079.999.999.999.900;2;119.62;2;1;1;1;1;49.464.999.999.999.900;61;44.070.505.229.999.900;79.312.690.000.000.000;22;0;23;0.16;0.23999999999999999;;;;;;;;;;;
19;63.009.999.999.999.900;0.0063010000000000002;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.204.000.000.000.000;11.538;0;1;1;2;126.03;0.83999999999999997;105.86;15.970.000.000.000.000;1;105.86;1;2;1;1;2;17.168.000.000.000.000;27;19501742.91;98.157.419.999.999.900;19;0;23;0.059999999999999998;0.089999999999999997;;;;;;;;;;;
20;16.188.999.999.999.900;0.016188999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.999.999.999.900;11.531.000.000.000.000;0;1;1;2;32.377.999.999.999.900;0.83999999999999997;27.198.000.000.000.000;41.020.000.000.000.000;1;27.198.000.000.000.000;2;1;1;1;1;56.236.000.000.000.000;69.349.999.999.999.900;50.102.878.939.999.900;79.312.690.000.000.000;20;0;23;0.16;0.25;;;;;;;;;;;
21;16.188.999.999.999.900;0.016188999999999999;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.213.999.999.999.900;11.531.000.000.000.000;0;1;1;2;32.377.999.999.999.900;0.83999999999999997;27.198.000.000.000.000;41.020.000.000.000.000;1;27.198.000.000.000.000;3;1;1;1;1;56.236.000.000.000.000;69.349.999.999.999.900;50.102.878.939.999.900;79.312.690.000.000.000;21;0;23;0.16;0.23000000000000001;;;;;;;;;;;
22;16.188.999.999.999.900;0.016188999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.999.999.999.900;11.531.000.000.000.000;0;1;1;2;32.377.999.999.999.900;0.83999999999999997;27.198.000.000.000.000;41.020.000.000.000.000;2;13.599.000.000.000.000;2;1;1;1;1;56.236.000.000.000.000;69.349.999.999.999.900;50.102.878.939.999.900;79.312.690.000.000.000;20;0;23;0.089999999999999997;0.13;;;;;;;;;;;
23;29.498.000.000.000.000;0.029498;10;0.0051500000000000001;0.051499999999999997;0.010999999999999999;0.11;;3;4;48.210.999.999.999.900;11.558.999.999.999.900;0;1;2;3;88.492.999.999.999.900;0.83999999999999997;74.334.000.000.000.000;13.040.000.000.000.000;8;92.920.000.000.000.000;20;1;1;1;1;15.574.100.000.000.000;126.37;90.074.308.150.000.000;53.495.279.999.999.900;22;0;23;0.27000000000000002;0.40000000000000002;;;;;;;;;;;
24;88.469.999.999.999.900;0.0088470000000000007;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.219.000.000.000.000;11.531.000.000.000.000;0;1;2;3;26.542.000.000.000.000;0.83999999999999997;22.296.000.000.000.000;39.109.999.999.999.900;2;111.48;1;2;2;2;1;18.484.999.999.999.900;37.899.999.999.999.900;27.016.669.059.999.900;12.128.771.000.000.000;20;0;23;0.16;0.23000000000000001;;;;;;;;;;;
25;10.784.999.999.999.900;0.010784999999999999;4;0.0051500000000000001;0.0206;0.010999999999999999;0.043999999999999997;;3;4;48.216.999.999.999.900;11.529;0;1;2;3;32.354.000.000.000.000;0.83999999999999997;27.177.999.999.999.900;47.68;3;90.590.000.000.000.000;8;1;1;1;1;56.940.999.999.999.900;46.200.000.000.000.000;32.932.455.539.999.900;53.495.279.999.999.900;22;0;23;0.20000000000000001;0.29999999999999999;;;;;;;;;;;
26;16.628.999.999.999.900;0.016629000000000001;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.218.000.000.000.000;11.528;0;1;2;3;498.88;0.83999999999999997;419.06;73.510.000.000.000.000;4;104.77;5;1;2;1;1;51.296.000.000.000.000;71.239.999.999.999.900;50.779.775.899.999.900;86.921.589.999.999.900;20;0;23;0.22;0.33000000000000002;;;;;;;;;;;
27;16.909.999.999.999.900;0.016910000000000001;7;0.0051500000000000001;0.036049999999999999;0.010999999999999999;0.076999999999999999;;3;4;48.213.999.999.999.900;11.551;0;1;2;3;50.729.000.000.000.000;0.83999999999999997;426.12;74.75;4;106.53;13;1;1;1;1;89.278.999.999.999.900;72.439.999.999.999.900;51.635.170.490.000.000;53.495.279.999.999.900;20;0;23;0.26000000000000001;0.39000000000000001;;;;;;;;;;;
28;169.09;0.016909;6;0.0051500000000000001;0.0309;0.010999999999999999;0.066000000000000003;;3;4;48.213.999.999.999.900;11.551;0;1;2;3;50.725.999.999.999.900;0.83999999999999997;42.610.000.000.000.000;74.75;4;106.52;12;1;2;2;1;47.967.000.000.000.000;72.439.999.999.999.900;51.632.257.909.999.900;93.518.080.000.000.000;22;0;23;0.029999999999999999;0.050000000000000003;;;;;;;;;;;
29;27.952.999.999.999.900;0.027952999999999999;4;0.0051500000000000001;0.0206;0.010999999999999999;0.043999999999999997;;3;4;48.213.000.000.000.000;11.529;0;1;2;3;83.860.000.000.000.000;0.83999999999999997;70.441.999.999.999.900;12.356.999.999.999.900;7;100.63;8;1;1;2;1;14.065.999.999.999.900;119.75;85.358.161.790.000.000;55.922.989.999.999.900;22;0;23;0.41999999999999998;0.63;;;;;;;;;;;
30;38.797.000.000.000.000;0.038796999999999998;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.216.000.000.000.000;11.551;0;1;2;3;11.639.200.000.000.000;0.83999999999999997;97.769.000.000.000.000;17.150.999.999.999.900;9;108.63;4;1;1;2;1;1952.27;16.621.000.000.000.000;118471462.3;55.922.989.999.999.900;20;0;23;0.17999999999999999;0.27000000000000002;;;;;;;;;;;
31;68.045.000.000.000.000;0.068044999999999994;27;0.0051500000000000001;0.13905000000000001;0.010999999999999999;0.29699999999999999;;3;4;48.218.000.000.000.000;11.557;0;1;3;5;3402.25;0.83999999999999997;28.578.899.999.999.900;475.56;19;15.041.999.999.999.900;54;1;1;1;2;38.773.400.000.000.000;29.150.999.999.999.900;27.912.537.139.999.900;66.955.149.999.999.900;19;0;23;13.600.000.000.000.000;20.499.999.999.999.900;;;;;;;;;;;
32;75.142.999.999.999.900;0.075143000000000001;32;0.0051500000000000001;0.1648;0.010999999999999999;0.35199999999999998;;3;4;48.212.000.000.000.000;11.558;0;1;3;5;37.571.700.000.000.000;0.83999999999999997;3156.02;52.516.999.999.999.900;21;15.028.999.999.999.900;63;2;1;1;2;34.863.400.000.000.000;32.191.000.000.000.000;30.824.286.269.999.900;80.940.820.000.000.000;18;0;23;0.81999999999999995;Jan 23;;;;;;;;;;;
33;900;0.089999999999999997;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.198.999.999.999.900;11.497.999.999.999.900;0;1;3;5;4500;0.83999999999999997;3780;629;3;1260;1;2;1;1;2;41.756.199.999.999.900;385.56;36.918.587.780.000.000;80.940.820.000.000.000;19;0;23;11.000.000.000.000.000;16.499.999.999.999.900;;;;;;;;;;;
34;83.150.999.999.999.900;0.083151000000000003;24;0.0051500000000000001;0.1236;0.010999999999999999;0.26400000000000001;;3;4;48.219.999.999.999.900;11.551;0;1;3;5;41.575.500.000.000.000;0.83999999999999997;34.923.400.000.000.000;581.13;23;151.84;47;2;1;2;1;43.491.700.000.000.000;35.622.000.000.000.000;34.109.070.289.999.900;72.489.419.999.999.900;21;0;23;Feb 75;41.200.000.000.000.000;;;;;;;;;;;
35;74.876.999.999.999.900;0.074876999999999999;34;0.0051500000000000001;0.17510000000000001;0.010999999999999999;0.374;;3;4;48.219.000.000.000.000;11.557;0;1;3;5;37.438.600.000.000.000;0.83999999999999997;31.448.400.000.000.000;52.330.999.999.999.900;21;149.75;68;2;2;2;2;16.926.099.999.999.900;32.076.999.999.999.900;307150859.5;15.255.489.999.999.900;19;0;23;Jan 52;22.799.999.999.999.900;;;;;;;;;;;
36;456.12;0.045612;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.216.999.999.999.900;11.529;0;1;3;5;22.806.199.999.999.900;0.83999999999999997;1915.72;31.877.999.999.999.900;6;31.929.000.000.000.000;6;2;1;1;2;21.162.199.999.999.900;19.540.000.000.000.000;18.710.475.140.000.000;80.940.820.000.000.000;21;0;23;Jan 21;18.100.000.000.000.000;;;;;;;;;;;
37;900;0.089999999999999997;13;0.0051500000000000001;0.066949999999999996;0.010999999999999999;0.14299999999999999;;3;4;48.204.999.999.999.900;11.553.000.000.000.000;0;1;3;5;4500;0.83999999999999997;3780;629;25;15.119.999.999.999.900;25;2;1;1;1;49.304.200.000.000.000;385.56;36.918.587.780.000.000;69.448.289.999.999.900;22;0;23;21.800.000.000.000.000;Mar 27;;;;;;;;;;;
38;47.501.999.999.999.900;0.047502000000000003;23;0.0051500000000000001;0.11845;0.010999999999999999;0.253;;3;4;48.200.000.000.000.000;11.534.000.000.000.000;0;1;3;5;23.750.900.000.000.000;0.83999999999999997;19.950.799.999.999.900;33.198.000.000.000.000;13;153.47;45;1;1;1;1;31.051.199.999.999.900;203.5;19.485.559.709.999.900;58.893.279.999.999.900;19;0;23;Jan 26;18.899.999.999.999.900;;;;;;;;;;;
39;83.819.999.999.999.900;0.0083820000000000006;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.216.000.000.000.000;11.536;0;2;0;2;16.763.999.999.999.900;0.83999999999999997;140.81;25.460.000.000.000.000;1;140.81;1;2;2;2;1;15.236.000.000.000.000;35.909.999.999.999.900;35.924.758.060.000.000;190813.22;18;0;23;0.13;0.19;;;;;;;;;;;
40;13.193.000.000.000.000;0.013193;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.203.000.000.000.000;11.553.000.000.000.000;0;2;0;2;26.386.000.000.000.000;0.83999999999999997;22.163.999.999.999.900;40.079.999.999.999.900;1;22.163.999.999.999.900;1;2;1;2;1;50.075.999.999.999.900;56.520.000.000.000.000;56.545.358.939.999.900;101466.95;22;0;23;0.19;0.28000000000000003;;;;;;;;;;;
41;200.53;0.020053000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.198.999.999.999.900;11.522;0;2;0;2;40.106.999.999.999.900;0.83999999999999997;33.689.999.999.999.900;60.920.000.000.000.000;1;33.689.999.999.999.900;1;2;1;2;1;76.115.999.999.999.900;85.909.999.999.999.900;85.949.854.200.000.000;101466.95;19;0;23;0.19;0.28999999999999998;;;;;;;;;;;
42;85.609.999.999.999.900;0.0085609999999999992;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.213.000.000.000.000;11.547.000.000.000.000;0;2;0;2;171.22;0.83999999999999997;14.381.999.999.999.900;26.010.000.000.000.000;2;71.909.999.999.999.900;4;2;1;2;1;324.94;36.670.000.000.000.000;36.692.434.479.999.900;101466.95;20;0;23;0.070000000000000007;0.10000000000000001;;;;;;;;;;;
43;100.41;0.010041;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.209.000.000.000.000;11.561;0;2;0;2;20.083.000.000.000.000;0.83999999999999997;16.869.999.999.999.900;30. May;2;84.349.999.999.999.900;2;1;2;1;2;28.076.999.999.999.900;43.020.000.000.000.000;43.038.104.729.999.900;13.292.042.999.999.900;19;0;23;0.12;0.17999999999999999;;;;;;;;;;;
44;14.833.000.000.000.000;0.014833000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.198.999.999.999.900;11.525;0;2;0;2;29.667.000.000.000.000;0.83999999999999997;24.919.999.999.999.900;45.060.000.000.000.000;2;12.459.999.999.999.900;2;2;2;1;1;30.017.000.000.000.000;63.549.999.999.999.900;63.576.425.289.999.900;174798;20;0;23;0.12;0.19;;;;;;;;;;;
45;95.769.999.999.999.900;0.0095770000000000004;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.197.000.000.000.000;11.553.000.000.000.000;0;2;0;2;19.155.000.000.000.000;0.83999999999999997;16.090.000.000.000.000;29. Sep;2;80.450.000.000.000.000;6;2;1;2;1;36.352.999.999.999.900;41.030.000.000.000.000;41049462.32;101466.95;22;0;23;0.11;0.17000000000000001;;;;;;;;;;;
46;17.049.000.000.000.000;0.017049000000000002;4;0.0051500000000000001;0.0206;0.010999999999999999;0.043999999999999997;;3;4;48.207.999.999.999.900;11.561;0;2;0;2;34.099.000.000.000.000;0.83999999999999997;28.643.000.000.000.000;51.789.999.999.999.900;2;143.22;7;2;2;2;1;30.992.000.000.000.000;73.040.000.000.000.000;73074644.5;190813.22;18;0;23;0.16;0.23999999999999999;;;;;;;;;;;
47;92.540.000.000.000.000;0.0092540000000000001;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.216.000.000.000.000;11.487;0;2;1;2;18.508.000.000.000.000;0.83999999999999997;155.47;33.159.999.999.999.900;2;77.739.999.999.999.900;6;2;1;2;2;25.666.000.000.000.000;39.640.000.000.000.000;31664801.43;10.686.735.000.000.000;20;0;23;0.13;0.20000000000000001;;;;;;;;;;;
48;61.079.999.999.999.900;0.0061079999999999997;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.999.999.999.900;11.538;0;2;1;2;122.16;0.83999999999999997;102.61;21.890.000.000.000.000;1;102.61;1;1;1;2;1;22.531.999.999.999.900;26.170.000.000.000.000;20.899.696.030.000.000;83.104.919.999.999.900;21;0;23;0.059999999999999998;0.080000000000000002;;;;;;;;;;;
49;93.260.000.000.000.000;0.0093259999999999992;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.216.000.000.000.000;11.489.000.000.000.000;0;2;1;2;18.652.000.000.000.000;0.83999999999999997;15.668.000.000.000.000;33.420.000.000.000.000;2;78.340.000.000.000.000;5;1;1;1;2;29.389.999.999.999.900;39.950.000.000.000.000;31910702.41;95.582.960.000.000.000;21;0;23;0.040000000000000001;0.070000000000000007;;;;;;;;;;;
50;84.140.000.000.000.000;0.0084139999999999996;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.203.000.000.000.000;11.538;0;2;1;2;16.827.000.000.000.000;0.83999999999999997;14.134.999.999.999.900;30.149.999.999.999.900;1;14.134.999.999.999.900;1;2;1;1;1;27.856.999.999.999.900;36.039.999.999.999.900;28.788.923.870.000.000;91.505.869.999.999.900;19;0;23;0.10000000000000001;0.14999999999999999;;;;;;;;;;;
51;66.409.999.999.999.900;0.0066410000000000002;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.213.999.999.999.900;Nov 49;0;2;1;2;132.81;0.83999999999999997;111.56;23.800.000.000.000.000;1;111.56;1;2;1;1;1;219.87;28.449.999.999.999.900;22.722.475.030.000.000;91.505.869.999.999.900;18;0;23;0.040000000000000001;0.059999999999999998;;;;;;;;;;;
52;51.229.999.999.999.900;0.0051229999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.216.000.000.000.000;11.544;0;2;1;2;10.245.999.999.999.900;0.83999999999999997;86.060.000.000.000.000;18.359.999.999.999.900;1;86.060.000.000.000.000;1;1;1;1;1;18.897.999.999.999.900;21.949.999.999.999.900;17.528.580.670.000.000;83.104.919.999.999.900;22;0;23;0.059999999999999998;0.080000000000000002;;;;;;;;;;;
53;54.875.999.999.999.900;0.054876000000000001;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.201.000.000.000.000;11.538;0;2;1;2;1097.52;0.83999999999999997;92.191.999.999.999.900;19.663.999.999.999.900;2;46.095.999.999.999.900;5;2;1;2;1;18.168.900.000.000.000;235.09;18.776.801.130.000.000;91.505.869.999.999.900;19;0;23;10.700.000.000.000.000;16.000.000.000.000.000;;;;;;;;;;;
54;92.5;0.0092499999999999995;5;0.0051500000000000001;0.025749999999999999;0.010999999999999999;0.055;;3;4;48.216.000.000.000.000;11.487;0;2;1;2;185;0.83999999999999997;15.540.000.000.000.000;33.149.999.999.999.900;2;77.700.000.000.000.000;10;1;2;1;1;19.793.000.000.000.000;39.630.000.000.000.000;31.649.960.030.000.000;13.323.170.999.999.900;21;0;23;0.089999999999999997;0.14000000000000001;;;;;;;;;;;
55;14.599.000.000.000.000;0.014599000000000001;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.219.000.000.000.000;11.555;0;2;2;3;43.795.999.999.999.900;0.83999999999999997;36.788.999.999.999.900;55.090.000.000.000.000;4;91.969.999.999.999.900;6;2;1;2;2;56.454.999.999.999.900;62.539.999.999.999.900;61.114.201.079.999.900;97.456.990.000.000.000;18;0;23;0.20000000000000001;0.28999999999999998;;;;;;;;;;;
56;19.497.999.999.999.900;0.019498000000000001;5;0.0051500000000000001;0.025749999999999999;0.010999999999999999;0.055;;3;4;48.215.000.000.000.000;11.552;0;2;2;3;58.495.000.000.000.000;0.83999999999999997;49.136.000.000.000.000;73.569.999.999.999.900;5;98.269.999.999.999.900;9;1;1;1;2;95.629.999.999.999.900;83.530.000.000.000.000;81.625.380.170.000.000;78.498.839.999.999.900;20;0;23;0.17999999999999999;0.27000000000000002;;;;;;;;;;;
57;125.61;0.012560999999999999;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.215.000.000.000.000;11.489.000.000.000.000;0;2;2;3;37.683.999.999.999.900;0.83999999999999997;31.654.000.000.000.000;47.399.999.999.999.900;3;10.551.000.000.000.000;6;2;2;1;1;23.252.000.000.000.000;53.810.000.000.000.000;52584446.43;183649.44;20;0;23;0.27000000000000002;0.40999999999999998;;;;;;;;;;;
58;39.897.000.000.000.000;0.039897000000000002;11;0.0051500000000000001;0.056649999999999999;0.010999999999999999;0.121;;3;4;48.213.000.000.000.000;11.550.000.000.000.000;0;2;2;3;11.969.000.000.000.000;0.83999999999999997;1005.39;15.053.999.999.999.900;11;91.400.000.000.000.000;21;2;1;1;1;17.303.299.999.999.900;17.091.999.999.999.900;167017677;87.846.410.000.000.000;20;0;23;0.81000000000000005;Jan 22;;;;;;;;;;;
59;177.16;0.017715999999999999;8;0.0051500000000000001;0.041200000000000001;0.010999999999999999;0.087999999999999995;;3;4;48.213.999.999.999.900;11.554;0;2;2;3;53.147.000.000.000.000;0.83999999999999997;44.643.000.000.000.000;66.849.999.999.999.900;5;89.290.000.000.000.000;16;2;1;1;1;76.833.000.000.000.000;75.890.000.000.000.000;74.162.393.459.999.900;87.846.410.000.000.000;19;0;23;0.16;0.23999999999999999;;;;;;;;;;;
